control,run,variant,pearson_ic,rank_ic_1,rank_ic_t,rank_ic_5,net_pct,sharpe,n_days
control1,set3_core7_seed42,ensemble,0.01226244960369415,0.013522555345611318,2.3784143851978605,0.020669414040475915,23.57712032015362,0.25365872701239917,1258
control1,set3_core7_seed43,single,0.005579708584860468,0.004908165072422118,0.962956543132908,0.01013787333115065,-39.74044577109656,-0.4774124371673412,1258
control1,set3_core7_seed43,ensemble,0.01496687433060336,0.016404956146389198,2.9050149996508448,0.028091909709433496,41.367175548840876,0.4496208509500726,1258
control1,set3_core7_seed44,single,0.0027937882229532654,0.004469491554552342,0.8645603748425963,0.016736341742610877,-39.88883667297843,-0.4545979005308657,1258
control1,set3_core7_seed44,ensemble,0.01199523575552837,0.012593000071433312,2.1388867929316575,0.021694763027042537,20.56540672920672,0.20854247575320345,1258
control1,set3_v2_seed42,single,0.014317215150178626,0.015208483569449031,2.946197684520906,0.01823067983174134,14.597800924471901,0.17617245609242632,1258
control1,set3_v2_seed42,ensemble,0.014770736977716276,0.01717378784723454,2.9476566429204323,0.026673575036922074,42.007221201820364,0.44163526808954734,1258
control1,set3_v2_seed43,single,0.010524325256291983,0.008344734661457926,1.5992343552153043,0.0080338355437869,52.10447192313442,0.6201785814524932,1258
control1,set3_v2_seed43,ensemble,0.013566266205393753,0.015996033478602806,2.8075015399754095,0.025758456958810953,0.804273033251297,0.008649080170178292,1258
control1,set3_v2_seed44,single,0.0020128476805531315,0.003371926359903582,0.64068402881252,0.012243825759969063,-42.676295444509,-0.45989658283341206,1258
control1,set3_v2_seed44,ensemble,0.009969813049898675,0.011789472088767846,2.0176033154718334,0.023234517219674494,23.291622740639934,0.22978265307802578,1258
control1,set4_core7_seed42,single,0.012478906273610967,0.014112424259474052,2.8957569043454643,0.015965102721056515,-15.62625739346565,-0.23773077673393198,1257
control1,set4_core7_seed42,ensemble,0.020864126337707484,0.0228494524387277,4.136806734860155,0.03046018194225149,40.679388346186826,0.48448433426086707,1257
control1,set4_core7_seed43,single,0.006253952697981873,0.010145124708513559,2.015265667163014,0.021516782291527967,-19.474702161945874,-0.26653006885529545,1257
control1,set4_core7_seed43,ensemble,0.020716491985020125,0.021721682996664212,3.7995956982550396,0.03039612813254021,58.28027586035378,0.6664912550837883,1257
control1,set4_core7_seed44,single,0.013730873885233304,0.013249274033983228,2.6259341919456687,0.01847643446844019,27.233500328809672,0.3723679568210445,1257
control1,set4_core7_seed44,ensemble,0.01959552314300058,0.022820237946155945,3.960463611391736,0.024189145769334806,18.28047458200728,0.19159323981679674,1257
control1,set4_v2_seed42,single,0.011719554278714833,0.013595889198148024,2.6898016412714463,0.017514052874681406,-40.97582428812591,-0.5782491676519095,1257
control1,set4_v2_seed42,ensemble,0.025454049987695376,0.028722178785705217,5.049533313417994,0.03338258219743958,47.77437055409477,0.57919764559258,1257
control1,set4_v2_seed43,single,0.01987432078265916,0.02455909964752416,4.772591970345858,0.027675274419424627,47.5890641721094,0.6072954273404095,1257
control1,set4_v2_seed43,ensemble,0.021540986241609262,0.024944126937582207,4.205902864817678,0.03451038433688419,25.517815733148748,0.28343758221049975,1257
control1,set4_v2_seed44,single,0.017694911672785033,0.02031811138765884,3.932386061788753,0.01833931337898287,56.50814330320162,0.7054563221345062,1257
control1,set4_v2_seed44,ensemble,0.024473102097582546,0.028988345830513792,5.12675182920623,0.025980374281093104,38.72370520043183,0.4527480182951313,1257
control2,set1_core7_seed42,single,0.010398638555993567,0.012068660093754329,2.421615923809311,0.01076066790352505,17.888689606739362,0.21416998652366223,1258
control2,set1_core7_seed42,ensemble,0.012048284225153189,0.009470820926408325,1.7376670797371716,0.019214226666236296,-18.741854459279608,-0.19050562099579496,1258
control2,set1_core7_seed43,single,0.007894900031308404,0.0029834861890814554,0.5959508577321033,0.0077128650503263466,-57.74504796470217,-0.6962255686455663,1258
control2,set1_core7_seed43,ensemble,0.009374171601013859,0.00799886796312097,1.452317241340767,0.021521401027974334,-8.953594718801746,-0.08547791532364651,1258
control2,set1_core7_seed44,single,0.001453542673805521,0.002478906413993353,0.5038889035759764,0.005316040291714775,-112.14942289428681,-1.393111643632292,1258
control2,set1_core7_seed44,ensemble,0.00978310231437265,0.01001899744763127,1.8296084686921685,0.027492646838155485,14.389028387526146,0.14676148279454265,1258
control2,set1_v2_seed42,single,0.007673353234642827,0.00768372435807075,1.526408415021277,0.016475183374785315,-21.58253764414629,-0.24634359053304092,1258
control2,set1_v2_seed42,ensemble,0.018226869630900956,0.015378719343960517,2.7552663808706876,0.025459662343495577,11.303589394074018,0.11921243388762842,1258
control2,set1_v2_seed43,single,0.013139761419423631,0.011725085246131734,2.280446170352832,0.011695089519061213,-30.43007594458964,-0.3356151528704933,1258
control2,set1_v2_seed43,ensemble,0.014518420449321431,0.014962537910515456,2.7400419722613423,0.018156258681502387,-39.933642905596095,-0.4282600641533807,1258
control2,set1_v2_seed44,single,0.011006789853896437,0.009588384942732488,1.8685477335419234,0.01100489956748249,16.329119587011206,0.18788135964950867,1258
