arm,panel,seed,source,n_days,rank_ic_1,rank_ic_se,rank_ic_t,net_pct,sharpe,mdd_pct,turnover,cost_pct
periodic_lstm_yearly,set1_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set1_core7_seed43/predictions.csv,1258,0.016892028655020132,0.006242446046388877,2.705995138683147,24.34326198323771,0.3514553984496674,43.046248801933814,0.13600149635594996,6.580156983412376
periodic_lstm_yearly,set1_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set1_core7_seed44/predictions.csv,1258,0.009962647757472335,0.005851040439787546,1.702713877984081,12.973208969312862,0.18838336661310684,30.496743023369937,0.12328500669085135,5.941645977120223
periodic_lstm_yearly,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set2_core7_seed42/predictions.csv,1258,0.024470227840381446,0.006401070360940364,3.8228337544451847,56.65845761098629,1.0617156999205033,21.67391644479364,0.14333894831516955,7.2394785675722035
periodic_lstm_yearly,set2_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set2_core7_seed43/predictions.csv,1258,0.027862088159124034,0.006399122585327868,4.354048197639971,69.30472731091342,1.322394967829471,19.39113912854646,0.13725027137607163,7.312496403549925
periodic_lstm_yearly,set2_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set2_core7_seed44/predictions.csv,1258,0.023146521560873556,0.005901015027717549,3.9224644323311257,83.24684173621753,1.4314881813701543,19.873865513865415,0.1337774922917984,6.7870070882289895
periodic_lstm_yearly,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set3_core7_seed42/predictions.csv,1258,0.008853665310988138,0.0063021388667443895,1.4048667441632934,28.988045483065694,0.3850183604356655,20.015462338089737,0.13012341234225977,5.950000014881195
periodic_lstm_yearly,set3_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set3_core7_seed43/predictions.csv,1258,0.0043413837599721155,0.005665545642335416,0.766278137013214,1.919085686005529,0.028320593113102924,17.416507427471053,0.1252316859777118,5.840697729272304
periodic_lstm_yearly,set3_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set3_core7_seed44/predictions.csv,1258,0.015033320687826564,0.0057272193085561515,2.624889999474546,37.332686618071584,0.5620364443885411,19.94024757058055,0.1317545732121824,6.04997129034486
periodic_lstm_yearly,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set4_core7_seed42/predictions.csv,1257,0.019736669383141153,0.0062322247135144565,3.166873835653354,47.92531566036641,0.8299564999272847,24.047493520418367,0.13259440660375907,6.3855507771585955
periodic_lstm_yearly,set4_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set4_core7_seed43/predictions.csv,1257,0.020695663881088525,0.005868721988365626,3.5264345324444375,33.16135811358909,0.5810875507757074,17.65056734361534,0.1284604508132231,6.422801255086726
periodic_lstm_yearly,set4_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_lstm_yearly/set4_core7_seed44/predictions.csv,1257,0.02297673016952938,0.006154561314494619,3.7332847940627127,43.64581331368062,0.8245192317924545,19.244412230114598,0.14090110770643832,6.923576261312075
periodic_ridge_monthly,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/periodic_ridge_monthly/set1_core7_seed42/predictions.csv,1258,0.013683282427428915,0.006268031911488412,2.18302692466345,54.27837332125818,0.7068175761789689,37.819837684177635,0.12272506808151423,5.739586213481915
