suite,strategy,panel,seed,net_pct,sharpe,mdd_pct,turnover,cost_pct,n_days
40isl,long_only,set1,42,91.8017169663007,0.7368049298296756,50.705524178060735,0.05918198025095034,3.17317521567127,1249
40isl,sleeves_reg,set1,43,28.032889393150313,0.37476632060569415,31.72317579429543,0.11617221600777321,5.302947081403723,1249
40isl,sleeves_h5,set1,43,44.965389174721196,0.5628895923112406,23.89789110381139,0.19936764431256965,9.12303381903146,1249
40isl,rank_weight,set1,43,34.25160310234905,0.3939619246186306,34.6158850581347,0.12997881997449753,6.019687758225817,1249
40isl,banded15,set1,43,27.573818734717488,0.31949918021183465,35.48311179387115,0.13621496592577537,6.692993444084169,1249
40isl,banded25,set1,43,56.41656383775254,0.6828194512479608,20.191883038182905,0.06487426333930309,3.2092160501774574,1249
40isl,beta_neutral,set1,43,21.329781643915908,0.25314207161417374,26.411674394685836,0.1375840867652366,5.963005505734084,1249
40isl,long_only,set1,43,82.16380147715554,0.6598196015310217,53.19841353647556,0.058839190984759364,3.1512758812903074,1249
40isl,sleeves_reg,set1,44,24.49517584109384,0.3282618437821012,30.94051841151153,0.11379451538200758,5.152752377178051,1249
40isl,sleeves_h5,set1,44,33.07100763332523,0.4157155062371859,32.09655751380865,0.21138881416373892,9.62719512192449,1249
40isl,rank_weight,set1,44,27.2004180669409,0.316983874953487,32.61265199382099,0.12796657793737204,5.902824807009625,1249
40isl,banded15,set1,44,33.796684038601775,0.37385793366719827,32.33234716932615,0.19627887610069827,9.114056806542479,1249
40isl,banded25,set1,44,64.09970290337145,0.794522959195354,13.245473824542001,0.08531927329869524,3.9033648653705186,1249
40isl,beta_neutral,set1,44,6.871874377380516,0.08872635488211589,26.056401219688542,0.1387469746091369,5.913621810824197,1249
40isl,long_only,set1,44,80.85532096101569,0.6697028001750924,47.78366424383544,0.056320051223237376,2.995510092860396,1249
40isl,sleeves_reg,set1,45,28.559527339997633,0.43001017309430406,28.622590594402382,0.12113792751067416,5.545384730652079,1249
40isl,sleeves_h5,set1,45,46.818054703656095,0.6502048867897243,22.637530119836605,0.2215628828698403,10.175014531278935,1249
40isl,rank_weight,set1,45,36.637438633879995,0.49296706406228175,30.597708233457325,0.13617223345994944,6.392031101248627,1249
40isl,banded15,set1,45,52.90415572137399,0.6255201374783264,23.1011544382657,0.25085658311357956,11.88901276027633,1249
40isl,banded25,set1,45,76.37926948637319,0.9431676926971468,16.66888994693662,0.09100543657987403,4.44641033649491,1249
40isl,beta_neutral,set1,45,20.719346532796884,0.2568213965825558,26.700774249957597,0.1542636194481225,6.511212557365715,1249
40isl,long_only,set1,45,75.96608347607815,0.6227248882296047,54.63642733611368,0.06139620567904805,3.4533670612943417,1249
40isl,sleeves_reg,set1,46,31.2518666026686,0.46788428214863875,27.600234114931204,0.12104343757049417,5.53037699823283,1249
40isl,sleeves_h5,set1,46,64.8470831601629,0.9066614965333931,23.530608963357924,0.22541037666338914,10.228799397428233,1249
40isl,rank_weight,set1,46,32.41497846069951,0.4189377513478948,27.611348406538106,0.13460697708952368,6.265644103088658,1249
40isl,banded15,set1,46,37.996128580539946,0.4542536227968587,34.80223613220295,0.23517928661214163,11.043125213948464,1249
40isl,banded25,set1,46,49.594065857330406,0.6141232395340172,21.285175881212144,0.09033861573441937,4.321541888948296,1249
40isl,beta_neutral,set1,46,16.231331612338565,0.21887509220506765,27.281985229375366,0.14797184163693838,6.350650724522577,1249
40isl,long_only,set1,46,75.85215472276113,0.6140293348242246,52.366854925912484,0.060223632486611695,3.287854489229614,1249
40isl,sleeves_reg,set1,47,31.17373803284536,0.4393552879129864,30.27931434747872,0.10486823239761282,4.857828554178915,1249
40isl,sleeves_h5,set1,47,50.831473201892905,0.6747836722192265,20.11807526293825,0.17742872126784198,8.08429169960614,1249
40isl,rank_weight,set1,47,34.65156470091968,0.42705062217726364,31.242046310937745,0.11933721060458118,5.563129134599189,1249
40isl,banded15,set1,47,43.8646872093304,0.5361920654835339,19.784993661387247,0.09795629051595812,4.9268646720647995,1249
40isl,banded25,set1,47,48.22980928181978,0.5887562848341676,32.354813286305784,0.04629848126457087,2.3420514753902686,1249
40isl,beta_neutral,set1,47,19.03526189608949,0.2412652669823141,26.399132408444814,0.12578360694804014,5.514174037983938,1249
40isl,long_only,set1,47,81.00856999207893,0.6608007552253222,52.376945739209546,0.05313503380425533,2.8429059432574553,1249
40isl,sleeves_reg,set1,48,23.227253592928072,0.3572660146459319,27.19680412158495,0.12535128218959726,5.717312444284783,1249
40isl,sleeves_h5,set1,48,40.24660847258168,0.5682225965572536,27.272574253155863,0.23201890800207742,10.502328638203908,1249
40isl,rank_weight,set1,48,25.061617503769362,0.3397005747894136,30.50527144047536,0.13923988958354283,6.532594896786385,1249
40isl,banded15,set1,48,24.60182049555376,0.28379981091763135,29.608482957524235,0.2948028214793755,13.538155086333497,1249
40isl,banded25,set1,48,29.655018308382264,0.36561207922363237,23.13142276909624,0.11876046486362413,5.6088545070342795,1249
40isl,beta_neutral,set1,48,11.38921069766761,0.16042291396695932,23.775336132549896,0.150030663725908,6.422248457497631,1249
40isl,long_only,set1,48,67.01987600333824,0.553587188031812,54.14495085775819,0.061679167452848176,3.4807384480525094,1249
40isl,sleeves_reg,set1,49,28.72135417015018,0.3839881585280293,33.96407229108933,0.10323103794241772,4.780791170532557,1249
40isl,sleeves_h5,set1,49,42.03442301134182,0.5276867593373618,34.186465540553975,0.18871273084918053,8.641342458030724,1249
40isl,rank_weight,set1,49,33.69684444486694,0.392830566205783,37.88209926088833,0.11884280249847969,5.68727665846094,1249
40isl,banded15,set1,49,44.68467191685677,0.4791094391696119,35.243680850097306,0.11451215252350969,5.742525574446688,1249
40isl,banded25,set1,49,52.16803608448958,0.5983812125709556,34.435195357928265,0.046992009638749395,2.4475600231859285,1249
40isl,beta_neutral,set1,49,31.260014992424523,0.3915220914773744,29.252507511066838,0.12258849366197247,5.392225685306445,1249
40isl,long_only,set1,49,79.06744415014886,0.6346860488797575,53.593246648389496,0.052458910256259594,2.8672554073243366,1249
40isl,sleeves_reg,set1,50,56.66897358253207,0.7311703703243501,33.266264083774395,0.10564655285258659,4.825366235730904,1249
40isl,sleeves_h5,set1,50,71.47929816351596,0.8560129439504244,37.63140223185902,0.18324663361938626,8.403193592095294,1249
40isl,rank_weight,set1,50,60.84140458186232,0.6965387117900502,32.400616734470525,0.12001915236365755,5.577411033711904,1249
40isl,banded15,set1,50,59.21527659294714,0.6927207130476941,27.831866455576947,0.1095870952350881,5.190492860900417,1249
40isl,banded25,set1,50,59.09262500829254,0.6863876615545917,28.281792709042147,0.04171993205846348,2.043362385343882,1249
40isl,beta_neutral,set1,50,46.21579520610225,0.5579266268316498,26.01036465078812,0.12820350096598504,5.547712415036615,1249
40isl,long_only,set1,50,93.07666611198918,0.7150947960364377,54.951055755856146,0.053212847625713364,2.88074781006267,1249
40isl,sleeves_reg,set1,51,26.952267193875283,0.3758257633281422,32.34086986166337,0.1056317914277554,4.883444894544464,1249
