arm,panel,n_seeds,rank_ic_1,net_pct,sharpe,mdd_pct,turnover,cost_pct
ar,set1_core7,1,0.011422306044238835,-26.899064433756063,-0.3901375736748333,47.14686338867558,0.1151420475436497,5.277195575522608
ar,set2_core7,1,0.016701171192193557,-31.754576494067422,-0.4126621144293841,41.193446441745756,0.11505261464273918,5.8815318504871605
ar,set3_core7,1,0.014800179305671502,20.049826201461578,0.19839161234242034,39.917485636105994,0.09823518979869209,4.302541328670431
ar,set4_core7,1,0.01586448791961226,-11.488496380830265,-0.17728395960663393,45.55410483072674,0.10512719711839053,5.112200853553655
lstm,set1_core7,3,0.009566863828338358,21.319560173696626,0.2797013423147216,35.85293820826769,0.12226566173124886,5.732128138855697
lstm,set2_core7,3,0.02127503904521515,47.55827712044762,0.8910488919048379,17.792422228688064,0.14196975871141174,7.0588367748356085
lstm,set3_core7,3,0.01259468131415122,22.60657465568643,0.3332979861662485,23.433591944242576,0.12889660180113272,5.9338343587666005
lstm,set4_core7,3,0.01780309656938492,33.05966178664094,0.5523272657783348,20.303557487747927,0.12937870127818676,6.064509368506553
gru,set1_core7,3,0.009428697890304732,32.032474465473605,0.4270817881062552,35.39256688460866,0.12879413970583828,5.974703316147245
gru,set2_core7,3,0.016177469723771334,34.53339698756154,0.69333830327789,14.691809580977619,0.1500603007586008,7.605639265137721
gru,set3_core7,3,0.005996793908423788,3.298431013701498,0.03477519375075086,26.832913471992942,0.13192889634888985,6.158653863413908
gru,set4_core7,3,0.021505331024688656,42.883769645796626,0.6862254301940015,20.937921108182707,0.13620368988514922,6.246983121977855
periodic_ridge_yearly,set1_core7,1,0.014000943742764713,57.39013599384969,0.7358714636661262,39.505432819660754,0.12280513213809423,5.733880758148736
periodic_ridge_yearly,set2_core7,1,0.027050736808274814,72.29947113990943,1.4094348009935271,21.580919108993523,0.14539540522529124,7.360534355460272
periodic_ridge_yearly,set3_core7,1,0.012357772069152485,42.56798489191117,0.5977648864135006,20.128010381194535,0.12212741008866884,5.485765732478286
periodic_ridge_yearly,set4_core7,1,0.028059945316968673,66.14711624498028,1.3522168507497214,16.98569442540761,0.14074082857773507,6.47211879605371
periodic_ridge_quarterly,set1_core7,1,0.013755350360555654,54.75383633562979,0.7008318151743811,39.505432819660754,0.12272172907407844,5.738643997281417
periodic_ridge_quarterly,set2_core7,1,0.027091123491927396,70.88953315112823,1.4037979378893073,21.580919108993523,0.14557319284102577,7.3683548510883545
periodic_ridge_quarterly,set3_core7,1,0.010037795036300376,24.501977466811287,0.3597410143065842,20.128010381194535,0.13120853364712587,6.0171389104499005
periodic_ridge_quarterly,set4_core7,1,0.028211682884771057,64.86398679824909,1.3438822622266495,16.98569442540761,0.14057184999195094,6.458209579955342
periodic_ridge_monthly,set1_core7,1,0.013683282427428915,54.27837332125818,0.7068175761789689,37.819837684177635,0.12272506808151423,5.739586213481915
periodic_ridge_monthly,set2_core7,1,0.027079786185989583,70.48211868892163,1.4007783107507128,20.961638932699035,0.14570978860510872,7.385789182298254
periodic_ridge_monthly,set3_core7,1,0.011190146393085363,23.110960971122804,0.35140709290830674,18.118820580669187,0.1321351663285308,6.087286196658745
periodic_ridge_monthly,set4_core7,1,0.028218251564563982,64.01232015528576,1.331819283777551,17.079652797547134,0.1406402789273673,6.461926058848604
periodic_lstm_yearly,set1_core7,3,0.012289274119559131,22.99664628455845,0.33334629932602616,36.36979560103737,0.12945950326657704,6.238332507329244
periodic_lstm_yearly,set2_core7,3,0.025159612520126346,69.73667555270575,1.271866283040043,20.31297369573517,0.13812223732767984,7.112994019783706
periodic_lstm_yearly,set3_core7,3,0.009409456586262273,22.746605929047604,0.3251251326457698,19.12407244538045,0.1290365571773847,5.94688967816612
periodic_lstm_yearly,set4_core7,3,0.021136354477919686,41.5774956958787,0.7451877608318155,20.314157698049435,0.13398532170780683,6.577309431185799
periodic_lstm_quarterly,set1_core7,3,0.009458828236674433,13.319247970676871,0.20130364710849594,35.969881037580755,0.12911905377467772,6.198379983382118
periodic_lstm_quarterly,set2_core7,3,0.023898956216841332,69.19378554914135,1.2322619829513177,20.31297369573517,0.13724395358718636,7.056408828107344
periodic_lstm_quarterly,set3_core7,3,0.009163973662893015,25.789204479768973,0.37135725046859536,20.56703864679542,0.12750623612252499,5.881570542674328
periodic_lstm_quarterly,set4_core7,3,0.021084377850085528,40.929785329165504,0.7562120556694781,20.314157698049435,0.13751063505504954,6.673123965771392
periodic_lstm_monthly,set1_core7,3,0.006692466623595988,1.7179530677886554,0.03171519466003105,27.305457215208644,0.1327137368362393,6.384937711694529
periodic_lstm_monthly,set2_core7,3,0.0200079725371721,60.739161464025905,1.1905876168701377,12.432245232305823,0.13988965339449821,7.158315246572063
periodic_lstm_monthly,set3_core7,3,0.008949983516146294,27.91857675029299,0.4362865032221886,18.093813398944167,0.13325450027768204,6.131970004589166
periodic_lstm_monthly,set4_core7,3,0.021471377293585156,39.940025356370725,0.7587018299585478,19.786893860121808,0.13970374970331567,6.744882780960684
control1_random_single,set1_core7,3,0.004885413247832345,-3.3208333333333333,-0.0762,18.534333333333333,0.1505,7.0731
control1_random_single,set2_core7,3,0.012754431824840718,21.495433333333335,0.5974333333333334,13.388566666666668,0.15423333333333333,7.8473
control1_random_single,set3_core7,3,0.005479392097795875,15.150900000000002,0.32683333333333336,12.292133333333334,0.14706666666666665,6.993200000000001
control1_random_single,set4_core7,3,0.012502274333990279,23.924599999999998,0.6628999999999999,15.841999999999999,0.15146666666666667,7.020033333333333
control1_random_ensemble,set1_core7,3,0.007234395210869406,19.3396,0.3007,27.984066666666667,0.13,6.030333333333334
control1_random_ensemble,set2_core7,3,0.02354540013293073,49.4065,1.0594333333333334,18.641266666666667,0.14846666666666666,7.5134333333333325
control1_random_ensemble,set3_core7,3,0.014173503854477942,38.1541,0.6125333333333334,16.54263333333333,0.1297,5.980933333333334
control1_random_ensemble,set4_core7,3,0.02246379112718262,40.75573333333333,0.7572666666666666,21.329833333333333,0.13946666666666666,6.5305
control2_fixed_single,set1_core7,3,0.00584368423227638,-4.058,-0.10046666666666666,20.012566666666665,0.14746666666666666,6.968966666666667
control2_fixed_single,set2_core7,3,0.017046018862707655,28.628366666666665,0.7704666666666666,15.264033333333332,0.15283333333333335,7.862266666666667
control2_fixed_single,set3_core7,3,0.004474900943310006,-1.7137666666666667,-0.030866666666666664,17.127133333333333,0.1461,7.1372333333333335
control2_fixed_single,set4_core7,3,0.015547496269334007,20.339133333333336,0.5750000000000001,12.213866666666666,0.1501,6.931966666666667
control2_fixed_ensemble,set1_core7,3,0.009162895445720189,28.53193333333333,0.43293333333333334,33.31023333333333,0.12823333333333334,5.976366666666666
control2_fixed_ensemble,set2_core7,3,0.022403496481438575,50.81496666666667,1.1247,19.817433333333334,0.15003333333333332,7.658166666666667
control2_fixed_ensemble,set3_core7,3,0.006699365421989929,18.152266666666666,0.3284666666666667,16.2332,0.13413333333333333,6.193566666666666
control2_fixed_ensemble,set4_core7,3,0.02290717988260314,36.31543333333334,0.7376999999999999,18.35223333333333,0.14073333333333335,6.438233333333334
onenas_single,set1_core7,3,0.0006800401116500635,-6.597680041490764,-0.09328099327942481,29.221129320408426,0.14047123327794153,6.527701529789014
onenas_single,set2_core7,3,0.0160297250014423,24.661340284985897,0.4238154668504321,24.641865893572856,0.14481385451651776,7.418655895357282
onenas_single,set3_core7,3,0.005415179881200505,24.565184978263684,0.3984833675484282,15.722795776435126,0.1398127784166154,6.516181192944792
onenas_single,set4_core7,3,0.0095968226804691,18.522195235344075,0.31712097318190685,19.026239432247955,0.1401301995818804,6.383684235215891
onenas_ensemble,set1_core7,3,0.002282878992707684,21.70393363137657,0.32511318964597025,37.76418690442441,0.12098731753244678,5.573206615159336
onenas_ensemble,set2_core7,3,0.017104099402408746,55.39269906213341,0.8052882675034372,21.72276710954961,0.13540404755779203,6.822812417471952
onenas_ensemble,set3_core7,3,0.00671339610381335,34.08764374961602,0.48450492789340993,20.96290464672046,0.1266161969765455,5.798832325069512
onenas_ensemble,set4_core7,3,0.016306077221803883,54.27867257461539,0.9275583305599445,17.403816557210998,0.12142981486588007,5.532512339112606
