arm,panel,seed,ens_ic,ens_net,ens_sh,gb_ic,gb_net,gb_sh
hp_W2_N1_nts600,set2,42,0.016765969872207572,8.44853216476636,0.3656947518298781,0.018237845355780984,6.897029054149678,0.32374567676566435
hp_W2_N1_nts600,set2,43,0.014901524934039947,18.586415496760804,0.7570688654975186,0.010346427523056888,-13.719334835017568,-0.5222023578419455
hp_W2_N1_nts600,set2,44,0.017230128595574316,21.095435058811187,0.8599518184409025,0.014935105923399444,-1.2467676355065698,-0.05293222966870311
hp_W2_R1_e5g10,set1,42,0.007224729701551762,10.8925201276438,0.36760700262429546,0.010113870949637642,12.724719374833542,0.40786919020863155
hp_W2_R1_e5g10,set1,43,0.013827199450169575,44.94783902387054,1.4663830288262976,0.008630005937634369,22.5711970580333,0.8160587716197283
hp_W2_R1_e5g10,set1,44,0.012805894954137469,42.59531824461596,1.6182650424154361,0.011261301499959301,33.9077833494024,1.2974159626631971
hp_W2_R1_e5g10,set2,42,0.016759324534815403,23.812580902654485,0.9467183479267108,0.01470902168951712,4.1513791804222215,0.15713385289646628
hp_W2_R1_e5g10,set2,43,0.013892799417561372,12.416061588168942,0.5166709294610902,0.011320667764946245,7.6776142325940375,0.3247541254689958
hp_W2_R1_e5g10,set2,44,0.014579606916585303,17.111951364690874,0.7090516384264,0.011369288584517299,13.212016198343305,0.5374289004802357
hp_W2_R2_e5g15,set1,42,0.012431236179394716,37.002536111365146,1.255654334215099,0.006876399733348032,9.178171886411246,0.3030718143456528
hp_W2_R2_e5g15,set1,43,0.009735209786493018,37.09731066306988,1.2784137041726167,0.011674706125587032,9.794151399785287,0.3587235424698828
hp_W2_R2_e5g15,set1,44,0.018034736464929712,53.15998294257383,2.264652201112079,0.009868703761029902,35.12634243799494,1.2059704368232729
hp_W2_R2_e5g15,set2,42,-0.006031797316785094,-9.706391976671135,-0.37947095482363274,0.0034168400391151074,2.0505478578552903,0.09685499739433341
hp_W2_R2_e5g15,set2,43,-0.0012783964434662331,-11.410235836943812,-0.4542697367784206,-0.00368967573942765,-22.169176693021534,-0.9930756672782967
hp_W2_R2_e5g15,set2,44,0.016923429774067234,0.6645983297539774,0.030363079080335947,0.00403150393979758,6.295999956799828,0.2922200327788555
hp_W3_B1_bp20,set1,42,0.021807466116741742,51.73228425083289,1.6143539538677287,0.012092762464917521,31.269573677296375,0.9542524145725096
hp_W3_B1_bp20,set1,43,0.01939562365920089,44.291987262048046,1.3360452377985146,0.010302472361829646,46.046450220642875,1.402588697977173
hp_W3_B1_bp20,set1,44,0.01819257385658246,34.368016602090755,1.298069933124951,0.010989781192121071,32.84842819337719,1.2055752502151071
hp_W3_B1_bp20,set2,42,0.015700049789021328,25.415459318221313,1.0642361477614597,0.006762738318826897,13.553036444980467,0.5948698714950998
hp_W3_B1_bp20,set2,43,0.015617130781870136,21.636249972946704,0.8261464729832572,0.01959127742976542,-7.544130755425347,-0.3409666413921012
hp_W3_B1_bp20,set2,44,0.02184754911626092,33.00649203068225,1.441144401873361,0.010866571953607865,19.026431046964852,0.8213518683807355
