suite,panel,seed,window,net_pct,sharpe,mdd_pct
8isl,set1,46,2020,-13.314699335139979,-0.5264500928639705,21.454049386789396
8isl,set1,46,2021,14.852373275615168,1.1300425210690381,13.308392030802985
8isl,set1,46,2022,25.997977237484722,1.3904040223506458,9.079957933493347
8isl,set1,46,2023,-8.059698562264293,-0.5419064391822165,18.540235578802083
8isl,set1,46,2024,-1.7454536603571842,-0.12752488013735044,9.653235044780617
8isl,set1,46,2022-24,7.434640316551394,0.1565249677271836,19.85873282514124
8isl,set1,46,2020-24,7.448293496849817,0.08406698868306482,21.454049386789396
8isl,set1,47,2020,1.086579658589497,0.045585330329415544,20.691981076848506
8isl,set1,47,2021,10.870798657561076,0.8399775100345525,9.910291326237834
8isl,set1,47,2022,22.200469857105652,1.303185587138311,10.220815559956636
8isl,set1,47,2023,-4.386561831631823,-0.2999021084032938,11.157228281112856
8isl,set1,47,2024,-3.6512884264526813,-0.26845211677244324,10.240404988324213
8isl,set1,47,2022-24,9.96645885090407,0.21863772980916668,15.193394064078342
8isl,set1,47,2020-24,22.867511266646172,0.2703626765931475,20.691981076848506
8isl,set2,45,2020,18.014620426306383,0.6887717057241394,18.747273284802272
8isl,set2,45,2021,21.1044759770417,1.4044368220662333,7.6801564285731665
8isl,set2,45,2022,7.218278026257872,0.4238631953486948,18.06706197596154
8isl,set2,45,2023,14.97951649393546,1.0968924123647072,13.074479313112732
8isl,set2,45,2024,22.629397309352754,2.074410417395618,5.8081562085884455
8isl,set2,45,2022-24,44.07345421509189,1.0421745046281523,18.06706197596154
8isl,set2,45,2020-24,83.80608236484278,0.9650368323987333,18.747273284802272
8isl,set2,46,2020,29.311605980183842,1.2484155989763468,23.783015985945248
8isl,set2,46,2021,24.063739944954612,1.718821374482484,7.194901093827168
8isl,set2,46,2022,4.860936630083856,0.3032008068852596,15.649876792241498
8isl,set2,46,2023,5.608954742805249,0.4254031253124242,8.350831903433011
8isl,set2,46,2024,21.204282942618573,1.8458810809111883,6.006173063907138
8isl,set2,46,2022-24,34.7260667757409,0.8441552227097329,15.649876792241498
8isl,set2,46,2020-24,77.3247240693689,0.9430039304309593,23.783015985945248
8isl,set2,47,2020,14.706302336132854,0.4905331219659188,24.41994321921883
8isl,set2,47,2021,10.356448323999892,0.6751071063230999,12.058535031405462
8isl,set2,47,2022,-0.08095378994097845,-0.004808733158503066,21.263138792405854
8isl,set2,47,2023,-8.916067274357074,-0.6462096304596184,16.554821053411175
8isl,set2,47,2024,19.144660757585104,1.666374304010675,6.012771387946851
8isl,set2,47,2022-24,12.908990535339898,0.3039106376510268,21.263719757040906
8isl,set2,47,2020-24,38.563902284447245,0.4144152212430277,24.41994321921883
8isl,set3,45,2020,16.62404329966304,0.6663520339246777,26.259451758153133
8isl,set3,45,2021,-3.722175007152574,-0.2767610070448898,12.574792259931684
8isl,set3,45,2022,10.556751883872368,0.5845888867062408,20.910072517906944
8isl,set3,45,2023,21.45948802753258,1.676768103220174,7.3609370165377275
8isl,set3,45,2024,-18.6114362233562,-1.1065312667255491,25.765716180694987
8isl,set3,45,2022-24,21.130891289927913,0.43450445731567156,20.910072517906944
8isl,set3,45,2020-24,40.80352610286545,0.4608141066056678,26.259451758153133
8isl,set3,46,2020,37.969092161646756,1.5012483597953927,12.558851493452602
8isl,set3,46,2021,4.555556873125681,0.28853665593019906,13.845749569166193
8isl,set3,46,2022,-18.830611028288978,-1.200791705466597,23.701371015888903
8isl,set3,46,2023,-3.0314539887946927,-0.23198469550018058,16.36115000994559
8isl,set3,46,2024,2.140868639774763,0.15936904341289923,9.992111361033146
8isl,set3,46,2022-24,-16.81694192066029,-0.3944381384280607,28.751803118495605
8isl,set3,46,2020-24,25.43456567186948,0.29404057232934017,26.10997617082134
8isl,set3,47,2020,24.361385644512062,1.1027022841895149,15.536646997706786
8isl,set3,47,2021,1.6633091410025251,0.12751021467836526,8.998353637458017
8isl,set3,47,2022,-4.234840808875495,-0.2458180061606379,26.739544243624835
8isl,set3,47,2023,34.90011354589674,2.9386894555138876,4.08514484902237
8isl,set3,47,2024,1.0779489188276143,0.0820241584051747,10.221447817201904
8isl,set3,47,2022-24,32.548453205019946,0.7651276980286663,26.739544243624835
8isl,set3,47,2020-24,66.13551953669001,0.8347177929214445,21.045519821098036
8isl,set4,45,2020,4.988998953766964,0.20978802133288305,20.82887756591751
8isl,set4,45,2021,14.70685211707723,1.1441140346143317,10.898944646889474
8isl,set4,45,2022,1.128793969880481,0.08343270141080306,9.88515298032891
8isl,set4,45,2023,30.1032175945375,2.491354231687173,3.5607678817015813
8isl,set4,45,2024,8.497187911133944,0.7883653319106848,6.380488831771731
8isl,set4,45,2022-24,39.91291755209873,1.0920220955608853,9.88515298032891
8isl,set4,45,2020-24,49.44403262368039,0.6450404587071632,20.82887756591751
8isl,set4,46,2020,18.832341949100144,0.6945705561133121,17.82942632214844
8isl,set4,46,2021,14.528646841532117,1.0905348337214036,12.778725080922579
8isl,set4,46,2022,10.572325485350078,0.7950363156799487,9.047535980860292
8isl,set4,46,2023,20.92371897789954,1.7133191317292327,6.632945803251605
8isl,set4,46,2024,6.2571117690820826,0.6002367310715138,9.21342557191338
8isl,set4,46,2022-24,37.09953980771646,1.030254561547162,9.047535980860292
8isl,set4,46,2020-24,59.9006682442635,0.7236866894228221,17.82942632214844
8isl,set4,47,2020,5.071752504219454,0.20244606194693254,18.378550173027346
8isl,set4,47,2021,12.800263931242583,0.9801620374997495,7.825448593369309
8isl,set4,47,2022,5.209145834785149,0.3935624042026522,8.031696147638579
8isl,set4,47,2023,26.418734289827313,2.4013418204880073,4.693489903137863
8isl,set4,47,2024,11.088250903607003,1.0625531051383732,5.743526931216559
8isl,set4,47,2022-24,40.89525434905425,1.1757291591391121,8.031696147638579
8isl,set4,47,2020-24,62.00357858435763,0.8028559970782908,18.378550173027346
8isl,set1,48,2020,-26.751491901668263,-1.0205679917005033,45.40565350504502
8isl,set1,48,2021,8.959893021356393,0.5504471382772849,10.725673163924512
8isl,set1,48,2022,15.446049699464165,0.9555124860170113,14.705361696911796
8isl,set1,48,2023,9.299620817468506,0.7633730581473025,8.302233412605583
8isl,set1,48,2024,-6.364971665398642,-0.5480183758325193,8.986415011698092
8isl,set1,48,2022-24,14.029555712089087,0.3432946534395894,14.705361696911796
8isl,set1,48,2020-24,-2.197368242372915,-0.025253300478408427,45.40565350504502
8isl,set1,49,2020,-30.45246146569743,-1.0642617013132982,39.28263140779386
8isl,set1,49,2021,-12.938431072705168,-0.7674161795814549,22.00887309344263
8isl,set1,49,2022,-0.6887147687575125,-0.0277768341579433,12.961818784890907
8isl,set1,49,2023,1.8145229793719815,0.1192941765346736,15.869881310605244
8isl,set1,49,2024,-6.4790568248303035,-0.45836385519793826,15.171046966432241
8isl,set1,49,2022-24,-5.847062567498318,-0.10239050697714677,24.95370436380251
