arm,panel,seed,year,n_days,net_pct,sharpe
lstm,set1_core7,43,2020,253,-7.763866610623646,-0.3490650093318266
lstm,set1_core7,43,2021,252,18.689056888277936,1.3944095948503055
lstm,set1_core7,43,2022,251,0.1656725576124736,0.009940815644806622
lstm,set1_core7,43,2023,250,5.785379327719594,0.6315361047704505
lstm,set1_core7,43,2024,252,1.5308277461367745,0.15378680747816983
lstm,set1_core7,44,2020,253,14.14752455782099,0.561683004804016
lstm,set1_core7,44,2021,252,14.509040986897976,1.2735528190875613
lstm,set1_core7,44,2022,251,-0.6688376928845379,-0.04465089857385381
lstm,set1_core7,44,2023,250,15.95377319489121,1.826464814010878
lstm,set1_core7,44,2024,252,10.167995523864287,1.0455223102260305
lstm,set2_core7,42,2020,253,8.585239615576858,0.5362382045573996
lstm,set2_core7,42,2021,252,18.28196205000261,1.5206586362297054
lstm,set2_core7,42,2022,251,1.6475573916345632,0.1499010132335525
lstm,set2_core7,42,2023,250,2.500848111110014,0.2845699679657154
lstm,set2_core7,42,2024,252,9.161350846493189,1.3247725602551415
lstm,set2_core7,43,2020,253,16.655599910035413,0.964489371669637
lstm,set2_core7,43,2021,252,17.970229715391188,2.4850004136781436
lstm,set2_core7,43,2022,251,9.19118369765965,1.0289549099009283
lstm,set2_core7,43,2023,250,7.2407590053140405,1.0195877326514686
lstm,set2_core7,43,2024,252,13.400055405962263,1.8989599504425856
lstm,set2_core7,44,2020,253,18.39415645776813,1.062078021949808
lstm,set2_core7,44,2021,252,16.023256123717687,1.8209621224976043
lstm,set2_core7,44,2022,251,0.8767087141859919,0.0904967030308008
lstm,set2_core7,44,2023,250,2.2145160481562107,0.31179882018229355
lstm,set2_core7,44,2024,252,0.5314082683349115,0.07285214709064687
lstm,set3_core7,42,2020,253,14.908937511026208,0.8166615767470616
lstm,set3_core7,42,2021,252,-4.315470659525404,-0.36568318370374053
lstm,set3_core7,42,2022,251,-10.492997001455077,-0.8119141704003355
lstm,set3_core7,42,2023,250,9.84941628070347,1.009282405455454
lstm,set3_core7,42,2024,252,9.737868488698338,1.1054541992526596
lstm,set3_core7,43,2020,253,17.69767135178092,0.9583817733562843
lstm,set3_core7,43,2021,252,1.1827446247863016,0.10019070660676428
lstm,set3_core7,43,2022,251,-11.232627300673956,-0.8280999300734608
lstm,set3_core7,43,2023,250,-7.7047587199514105,-1.0685272124619358
lstm,set3_core7,43,2024,252,0.28602691206462416,0.03177285673547068
lstm,set3_core7,44,2020,253,30.589633019149964,1.5886603749897124
lstm,set3_core7,44,2021,252,5.288617432656919,0.45137566757941483
lstm,set3_core7,44,2022,251,-12.03211047370061,-0.714758106632662
lstm,set3_core7,44,2023,250,19.5656382293688,2.1766069832492523
lstm,set3_core7,44,2024,252,4.491134272130114,0.44833821005498664
lstm,set4_core7,42,2020,252,10.638608662172313,0.5298184566724108
lstm,set4_core7,42,2021,252,18.899887431679016,2.017151009762117
lstm,set4_core7,42,2022,251,-2.222195760008378,-0.20728185500511936
lstm,set4_core7,42,2023,250,7.790796153051792,0.8942932249603144
lstm,set4_core7,42,2024,252,8.124281317425975,1.3317526107496143
lstm,set4_core7,43,2020,252,-0.9967313496120657,-0.06294658579771016
lstm,set4_core7,43,2021,252,3.2875891780998625,0.36028793761161554
lstm,set4_core7,43,2022,251,-1.9483417129199994,-0.19049059038189542
lstm,set4_core7,43,2023,250,6.1129451277711855,0.786828553752307
lstm,set4_core7,43,2024,252,8.084534204831083,1.426902238256981
lstm,set4_core7,44,2020,252,4.275213667891109,0.19156922526287398
lstm,set4_core7,44,2021,252,18.28284079317471,2.3696952841000036
lstm,set4_core7,44,2022,251,3.4983312306182484,0.31192894197767673
lstm,set4_core7,44,2023,250,10.455996033748917,1.2090800052672697
lstm,set4_core7,44,2024,252,4.89523038199904,0.6886137390599055
naive,set1_core7,42,2020,253,0.29892374798873367,0.01988555969412503
naive,set1_core7,42,2021,252,-9.166160101424575,-1.11053419991526
naive,set1_core7,42,2022,251,-6.608305813409053,-0.8316752986415434
naive,set1_core7,42,2023,250,-5.55013784028206,-0.9952648519454139
naive,set1_core7,42,2024,252,-5.028065826995578,-0.8536283958706105
naive,set2_core7,42,2020,253,-21.10353488594039,-1.5155636016863199
naive,set2_core7,42,2021,252,-7.749050843103311,-1.3727979105864658
naive,set2_core7,42,2022,251,-12.051870731665758,-1.930647468036094
naive,set2_core7,42,2023,250,-3.4722510172847616,-0.7069556933277671
naive,set2_core7,42,2024,252,-8.876201407616833,-2.1156076467807776
naive,set3_core7,42,2020,253,-14.230176510708603,-1.2435638946071954
naive,set3_core7,42,2021,252,-6.729330719595637,-1.0274566231032218
naive,set3_core7,42,2022,251,-9.079650812588138,-1.358783435058214
naive,set3_core7,42,2023,250,-3.605866610933845,-0.7389739536151254
naive,set3_core7,42,2024,252,-12.079006905673898,-2.438302678422347
naive,set4_core7,42,2020,252,-18.389940629122,-1.534846006235507
naive,set4_core7,42,2021,252,-7.51854971612368,-1.4747666620467446
naive,set4_core7,42,2022,251,-7.12277621421205,-1.252017331435024
naive,set4_core7,42,2023,250,-7.259329770740819,-1.6545957621649428
naive,set4_core7,42,2024,252,-4.656875517194068,-1.250965424843714
periodic_lstm_monthly,set1_core7,42,2020,253,-18.737740951481314,-1.0474439208851407
periodic_lstm_monthly,set1_core7,42,2021,252,3.971744943352469,0.32862409264590053
periodic_lstm_monthly,set1_core7,42,2022,251,2.728432470314822,0.20122287024949492
periodic_lstm_monthly,set1_core7,42,2023,250,-1.076644535925865,-0.09232666339889117
periodic_lstm_monthly,set1_core7,42,2024,252,6.779736787565804,0.6275269205537285
periodic_lstm_monthly,set1_core7,43,2020,253,-16.47427431332,-0.9075144511518053
periodic_lstm_monthly,set1_core7,43,2021,252,0.4068387305531107,0.03503590085397819
periodic_lstm_monthly,set1_core7,43,2022,251,2.2156835560883685,0.17892382236646137
periodic_lstm_monthly,set1_core7,43,2023,250,2.996279125252003,0.2822781786242342
periodic_lstm_monthly,set1_core7,43,2024,252,4.234214310864708,0.427707212323296
periodic_lstm_monthly,set1_core7,44,2020,253,-0.10355693665133336,-0.005892565201708661
periodic_lstm_monthly,set1_core7,44,2021,252,9.38063975235162,0.8750380323764215
