islands,panel,seed,net_pct,sharpe,mdd_pct
10,set4,50,22.182580971551086,0.8693536710604808,9.134974389428836
10,set4,51,18.683711365406406,0.721732457121396,7.782089120754127
20,set1,42,36.65536051831428,0.8848561109844468,8.649120603363425
20,set1,43,25.46745446312717,0.7859479202829825,10.24765300832252
20,set1,44,39.885988056669795,1.0911298163446501,9.987329262225176
20,set1,45,18.199998596443997,0.5145616958202899,10.121962603039195
20,set1,46,16.464052509918865,0.4374810997690102,17.896577448150286
20,set1,47,13.37287760191878,0.34232331794480886,12.324022830745125
20,set1,48,37.46100552422049,1.1535685840375574,8.830902531982742
20,set1,49,23.962192025343,0.604061131788188,10.916793045445091
20,set1,50,12.274916039147973,0.3258736612463822,12.381486778715242
20,set1,51,27.585397565518516,0.652271355790487,11.746501669615967
20,set2,42,39.46916378798031,1.2905224722034865,16.95253513208235
20,set2,43,29.197646185327685,1.0493407737544111,9.404681071619448
20,set2,44,38.75522911865275,1.5379701392632017,11.68981326524733
20,set2,45,41.36463347461034,1.4958162072693073,10.168628144965762
20,set2,46,22.70820550554717,0.7884019190313647,13.309234148584546
20,set2,47,28.15214345851722,1.3278050662907603,11.304937822515921
20,set2,48,44.132355718185785,1.5558752329973677,9.462827786540263
20,set2,49,38.67070356668354,1.2696043480909083,15.894181002301927
20,set2,50,49.84470265975931,1.6422743576021543,11.866560794551411
20,set2,51,27.03216070441262,1.1219689832022135,12.978061272843258
20,set3,42,19.098668285368582,0.43836854921606233,23.140723909948623
20,set3,43,22.660567489349877,0.5550347217400675,20.192645657890587
20,set3,44,-5.784935252927764,-0.14034097267435666,22.9870058124052
20,set3,45,7.389411962366213,0.23739726798334915,17.605416696267042
20,set3,46,17.585327391139483,0.45529602673186403,17.548558552612093
20,set3,47,26.14027492037918,0.6536222825371902,18.211619092964725
20,set3,48,19.222926383484296,0.426542885936406,21.671730940297156
20,set3,49,5.756436087888043,0.13380061582226552,27.62605707567245
20,set3,50,19.53949074099488,0.5117798625513982,12.978333176609723
20,set3,51,22.51892484985177,0.5726372430745474,16.602992920427713
20,set4,42,31.824363591306483,1.015120869600663,9.160267856921806
20,set4,43,36.47785273331612,1.12172622623407,9.048765758834637
20,set4,44,30.28888627869782,1.085786839599335,7.26409533148186
20,set4,45,34.414083185288334,1.2812549475944484,9.097185990435413
20,set4,46,29.249347243482514,1.0011919564446339,9.701085397550587
20,set4,47,31.386429455717803,1.063777917017534,8.141955553010765
20,set4,48,34.12194621585691,1.1349749715715678,11.838574577984776
20,set4,49,40.8832400831036,1.4335095460703373,7.203692842802423
20,set4,50,34.49013656016427,1.1682983038461443,7.904358425433864
20,set4,51,26.434597085074135,0.9632817527716444,9.281084770635736
30,set1,42,24.807327140761053,0.5739881990508763,15.265287257046175
30,set1,43,13.741762021699449,0.30774949311283545,17.0728944306956
30,set1,44,26.48809885897161,0.7564860073213525,14.785138656000779
30,set1,45,20.83780671672532,0.5508959960752815,14.336817834030818
30,set1,46,37.22948802290173,0.9627779801170306,11.992102042140488
30,set1,47,28.801456014542225,0.7636197581301917,10.85455417614086
30,set1,48,20.208478424003573,0.4975325248219367,12.009346687720457
30,set1,49,18.469986786405475,0.5122334560213853,14.150696100398886
