arm,panel,seed,window,book,net_pct,sharpe,mdd_pct,turnover,cost_pct
lstm,set2,51,2022-24,sleeves_reg,29.497422077232972,1.2614583859763555,8.045304230420381,0.14417099868896113,3.5470245635508553
lstm,set2,51,2022-24,banded25,26.6790907545133,0.6421532228789488,15.390956919264124,0.2902194115144645,6.22434353566997
lstm,set2,51,2020-24,sleeves_reg,55.0223919129783,1.1712393177817673,15.094018781356395,0.14530968789512083,7.203034914074906
lstm,set2,51,2020-24,banded25,74.23759356391174,0.9515162751962472,18.849868216007,0.29601595472722314,14.852797329141353
lstm,set3,42,2022-24,sleeves_reg,9.166723879697876,0.2879952137301132,22.48265012338053,0.12971319137216816,3.1042642353691123
lstm,set3,42,2022-24,banded25,41.04340514602301,0.9601993903374392,27.00167650379837,0.13720995149937618,3.2978626517406626
lstm,set3,42,2020-24,sleeves_reg,19.687754619447578,0.3092693654179549,25.838819184555017,0.12610269380309755,5.8122680178786625
lstm,set3,42,2020-24,banded25,65.69898863543153,0.7576581356321261,27.751656522312796,0.1121573363754217,5.086380234823854
lstm,set3,43,2022-24,sleeves_reg,-19.14776066313516,-0.6228519964603751,24.220423372434155,0.141654467748643,3.377379749839416
lstm,set3,43,2022-24,banded25,-14.645099376511904,-0.3173860327092354,33.192454143316446,0.24526403413155465,6.110530484632229
lstm,set3,43,2020-24,sleeves_reg,0.2290568680064859,0.003632226081658984,20.998866069602638,0.1314797936213117,5.8839273511042185
lstm,set3,43,2020-24,banded25,-8.715881920206954,-0.10001083799606779,30.500861926653457,0.16936953680554168,7.347585774417708
lstm,set3,44,2022-24,sleeves_reg,12.10300205842107,0.32540608262460274,27.097803043275576,0.13338035447010185,3.313650016837953
lstm,set3,44,2022-24,banded25,24.88086510110529,0.5022292348127114,30.57758137246304,0.1471592985563289,4.05632162341526
lstm,set3,44,2020-24,sleeves_reg,47.90291247960525,0.6869923669991322,23.46309057857002,0.12910731797898892,6.1053077073169195
lstm,set3,44,2020-24,banded25,74.5567162013617,0.817296728887216,28.054086625224773,0.12258912095202343,6.548882356248248
lstm,set3,45,2022-24,sleeves_reg,9.253532065333502,0.26833243938303725,17.663323262911547,0.13526481894396347,3.2438039615302356
lstm,set3,45,2022-24,banded25,47.25187519046785,0.980984394539794,24.628801453719223,0.18482038075728788,4.135332615350443
lstm,set3,45,2020-24,sleeves_reg,29.022849233188474,0.500339091476527,16.875486643776295,0.13084607638402926,5.898784108412325
lstm,set3,45,2020-24,banded25,84.69094603152776,0.9993181755213358,23.90261453300574,0.14239622307246713,5.897137732811923
lstm,set3,46,2022-24,sleeves_reg,19.34428581183786,0.5615448219436433,14.602183376025282,0.12588075007394883,2.9984562440379334
lstm,set3,46,2022-24,banded25,11.51061083503241,0.25448034937730946,31.288639080958912,0.11874408552962634,2.670887794701447
lstm,set3,46,2020-24,sleeves_reg,43.03138885765529,0.6456171774795029,15.63888716401749,0.12492301588611364,5.712889243244203
lstm,set3,46,2020-24,banded25,54.33098229852264,0.6250171454020077,26.291759999907633,0.1091815102360782,4.873309252868309
lstm,set3,47,2022-24,sleeves_reg,4.267950700876622,0.1333516535335397,22.884323998862442,0.13934788123241545,3.2216787771089685
lstm,set3,47,2022-24,banded25,22.645420930967607,0.49310105714181596,21.406181568550384,0.2167851639170622,4.578640349798241
lstm,set3,47,2020-24,sleeves_reg,15.541280425743867,0.2808288950997563,21.44831592129358,0.13587931160873798,6.013614708535977
lstm,set3,47,2020-24,banded25,43.987469189249815,0.5553799287438127,22.035967283998257,0.17588386474068674,7.038870992392785
lstm,set3,48,2022-24,sleeves_reg,11.791615873105485,0.411089387863838,8.411537082772345,0.13647877701449865,3.1685664984663164
lstm,set3,48,2022-24,banded25,29.262486836359997,0.6847052543267895,11.686546131966557,0.1927088040940381,4.236411385807452
lstm,set3,48,2020-24,sleeves_reg,43.23620640255945,0.6251385299737489,15.135505723282378,0.1274248162911484,5.673786178538315
lstm,set3,48,2020-24,banded25,58.956661422454424,0.681742214736394,12.080756439483785,0.13704292478195584,5.454291540430141
lstm,set3,49,2022-24,sleeves_reg,16.570764749977883,0.40712033585958485,23.148268532813532,0.12390128108262889,2.9948285040753104
lstm,set3,49,2022-24,banded25,29.90735562421391,0.5832746172547535,31.945973443084885,0.1116728492068191,2.79411062692749
lstm,set3,49,2020-24,sleeves_reg,34.85984162055372,0.5068657528716372,19.664594201870734,0.12457525163479312,5.8121065006706045
lstm,set3,49,2020-24,banded25,87.33259634817855,0.9746182266724238,18.27234351587184,0.09987447556026324,4.876620618975928
lstm,set3,50,2022-24,sleeves_reg,7.222635218429517,0.20025727652146413,20.18356610933955,0.13286814779913272,3.101347752432349
lstm,set3,50,2022-24,banded25,22.042740038259563,0.4664399784535229,24.50065231354786,0.2022078044167813,4.458957111906263
lstm,set3,50,2020-24,sleeves_reg,32.074815524309095,0.4236557454287307,18.668503764974126,0.13060699294362169,5.895729142485957
lstm,set3,50,2020-24,banded25,44.37144137314099,0.4974323876008242,22.447842885305068,0.15545737025715853,6.3387848266916444
lstm,set3,51,2022-24,sleeves_reg,8.575355316872505,0.22911143134704876,21.711169212656493,0.12470250615443897,3.004859032618177
lstm,set3,51,2022-24,banded25,19.511774784075165,0.41364301935314446,30.953720330271395,0.10965557792094507,2.5872458150628947
lstm,set3,51,2020-24,sleeves_reg,37.00195369063381,0.5345720539010487,17.669655341676744,0.1266950800269499,5.8729348400633254
lstm,set3,51,2020-24,banded25,50.36718858516647,0.5600421931263491,27.749114496228866,0.10999632916200346,5.285232346234552
lstm,set4,42,2022-24,sleeves_reg,15.015127923375216,0.5776416829741364,10.192355601317775,0.12270433845904133,2.9778943826062227
lstm,set4,42,2022-24,banded25,25.858947786125334,0.7529006513460335,8.203449396183935,0.0927650661920768,2.5799893718029394
lstm,set4,42,2020-24,sleeves_reg,43.23137780432075,0.7220319286631007,22.154974534507435,0.11877284382459567,5.526129888082713
lstm,set4,42,2020-24,banded25,52.83890722351041,0.6646934931293348,23.67751318363093,0.08107204532287562,4.384086466837283
lstm,set4,43,2022-24,sleeves_reg,11.730204721454168,0.4839135202196412,9.48364325583793,0.1416826202128282,3.551214313038102
lstm,set4,43,2022-24,banded25,4.950987262252824,0.13494906158838763,15.738651305550293,0.19891323388560522,6.201959558388154
lstm,set4,43,2020-24,sleeves_reg,14.539995448170098,0.2826323154924668,13.302003707461935,0.14075674174154168,6.6311067107539134
lstm,set4,43,2020-24,banded25,-3.481459511541555,-0.043083316180716424,30.74770299666793,0.1915082430244577,10.879900486906939
lstm,set4,44,2022-24,sleeves_reg,17.61589254142591,0.6448981371148246,7.9524913081042845,0.1283220171813664,3.1070430116869123
lstm,set4,44,2022-24,banded25,23.442619041599766,0.6620779963202267,19.266056185376133,0.1128999483464407,2.899833927672944
lstm,set4,44,2020-24,sleeves_reg,41.40761210743199,0.6523175531794372,25.453694221274425,0.12860651826842298,6.036291506683035
lstm,set4,44,2020-24,banded25,67.61932695649261,0.8812822229162108,21.471637264930283,0.12016102516032211,6.30026433789947
lstm,set4,45,2022-24,sleeves_reg,10.250369086739656,0.372245849232745,10.04806735743208,0.13274455769021398,3.048624105099355
lstm,set4,45,2022-24,banded25,14.904033570638806,0.427863343545137,17.533103209856566,0.14941000088932493,3.0179788961875853
lstm,set4,45,2020-24,sleeves_reg,46.22544719977934,0.8692410495551997,11.680495070050007,0.12890458704878222,5.7268260786338026
lstm,set4,45,2020-24,banded25,23.65728200040423,0.32078387067440584,27.201945586082733,0.1315268010883973,5.480593557165796
lstm,set4,46,2022-24,sleeves_reg,4.953962909203106,0.1906189249898253,12.078018119237417,0.1385612805605435,3.2101441554774794
lstm,set4,46,2022-24,banded25,3.1422558409238985,0.08534582986615885,20.4943702325311,0.167250029362086,3.6327216194694687
lstm,set4,46,2020-24,sleeves_reg,29.60192336293807,0.5009172860223596,17.771915175538616,0.13664959388909537,6.064312030037131
lstm,set4,46,2020-24,banded25,27.05809719444709,0.35385470639201905,21.798607950479028,0.15592559485193055,6.5329150985331035
lstm,set4,47,2022-24,sleeves_reg,1.885239669128879,0.07247208169121487,9.593138509406481,0.13994136857595518,3.368485352100552
lstm,set4,47,2022-24,banded25,10.721813692384046,0.28667339322601965,14.425511306487246,0.1750429724606708,4.436391426478042
lstm,set4,47,2020-24,sleeves_reg,33.028456386961565,0.6377360221489774,11.687862173625797,0.13955713658047056,6.3196044329347565
lstm,set4,47,2020-24,banded25,37.735478785088524,0.45735756587073956,28.079064170823166,0.17548485982712556,8.193431970794279
lstm,set4,48,2022-24,sleeves_reg,-0.6752675719694108,-0.02760148100843966,16.99741455874893,0.13246805347597934,3.070313297510452
lstm,set4,48,2022-24,banded25,13.784682703067377,0.4155846313929012,14.668838140178467,0.13253139083035387,3.0752182566181996
lstm,set4,48,2020-24,sleeves_reg,15.762969856467906,0.2598355627984611,19.13071528614423,0.12871580715983222,5.669881512862441
lstm,set4,48,2020-24,banded25,22.76007841123673,0.30078694224726976,19.96850046531426,0.12246927253738901,5.26710978711912
lstm,set4,49,2022-24,sleeves_reg,22.098007094464382,0.8217958203600154,8.405466223256866,0.1374785316393175,3.269357452094842
lstm,set4,49,2022-24,banded25,30.49215182350247,0.8251734267492431,17.92565397389924,0.13934808894980885,3.3860403606694187
lstm,set4,49,2020-24,sleeves_reg,46.01545670719317,0.7086184415209191,27.096413388753515,0.13583439795425684,6.220198478413362
lstm,set4,49,2020-24,banded25,77.6427828093877,0.9398495133270452,22.623283219385705,0.13527824395066063,6.35946338230541
lstm,set4,50,2022-24,sleeves_reg,11.568592430058494,0.4596754206726472,9.083635050577353,0.13896017072075695,3.2954323179432365
lstm,set4,50,2022-24,banded25,17.866241560732053,0.49279572461757876,14.610989095321447,0.17261113565212316,3.992956365172284
lstm,set4,50,2020-24,sleeves_reg,48.258827995529614,0.7910310186206754,14.377773675632643,0.13569053681240884,6.032701904632213
lstm,set4,50,2020-24,banded25,49.73345814469097,0.63928814642385,16.640772697855382,0.163469678519583,7.13223865915973
lstm,set4,51,2022-24,sleeves_reg,23.51622162481892,0.9109109827666602,5.397090794952756,0.13213057589028934,3.1559084279907124
lstm,set4,51,2022-24,banded25,41.3362128750901,1.2065100096305703,8.238221329601974,0.12415859951538857,2.794203316778272
lstm,set4,51,2020-24,sleeves_reg,45.55991696239221,0.7265136567025229,24.852836920341158,0.13219817265925116,6.042675856101361
lstm,set4,51,2020-24,banded25,68.38908486497256,0.8202824027632962,29.12386236971834,0.12539611364625167,5.570948923305485
gru,set1,42,2022-24,sleeves_reg,10.486606787970826,0.2907818876363734,14.761605635994668,0.12475818170126417,2.954633084257546
gru,set1,42,2022-24,banded25,26.515423583530207,0.5354575846023059,18.202352630834064,0.11437036273289027,2.7389471894789548
gru,set1,42,2020-24,sleeves_reg,4.384149234964458,0.05509904413626235,40.95694555635573,0.1279315688486803,5.993676322404077
gru,set1,42,2020-24,banded25,1.913887656100353,0.01955265862659314,51.16865875612962,0.12062950590410916,5.824692984684886
gru,set1,43,2022-24,sleeves_reg,19.29885163759631,0.5811815055117241,9.237866344470127,0.1313221378542775,3.071807294587527
gru,set1,43,2022-24,banded25,30.38264271697156,0.6771464261450788,10.705121927905326,0.14149713023001811,3.4630899199232874
gru,set1,43,2020-24,sleeves_reg,41.498987609757734,0.6058375567434062,24.63943005413565,0.1287419344715811,5.941120776219962
gru,set1,43,2020-24,banded25,54.33667037769144,0.5880283821199612,22.930000353054712,0.12354087584816148,5.89794408341508
gru,set1,44,2022-24,sleeves_reg,35.83061453009911,1.0187138660993684,11.530670746020064,0.1294731506661924,3.0347890302694327
gru,set1,44,2022-24,banded25,62.8861150192757,1.369884113897366,12.772408591946485,0.15039253172071948,3.478579170117314
gru,set1,44,2020-24,sleeves_reg,50.21428655169859,0.6203087634390965,40.58132504333458,0.12970891579725344,5.989312849817697
gru,set1,44,2020-24,banded25,76.46686440928615,0.857399446325696,38.02855005156822,0.14872988521300687,6.7073061663754405
gru,set1,45,2022-24,sleeves_reg,0.5887300776274816,0.01643183930681406,14.965305921466578,0.12292334012216725,2.9974267505642276
gru,set1,45,2022-24,banded25,-0.4845855267892775,-0.011403869413537444,19.77265890919373,0.10385471343966261,3.006802003378835
gru,set1,45,2020-24,sleeves_reg,15.853555731587738,0.18563971103960294,46.81771302587466,0.11994125717476159,5.771015759850047
gru,set1,45,2020-24,banded25,43.42682586845769,0.4827388322063718,37.57423554097089,0.09575428440613835,5.715481246401384
gru,set1,46,2022-24,sleeves_reg,8.745439756237127,0.23627225254866438,13.256497471482298,0.12477416153651022,2.9724186397842356
gru,set1,46,2022-24,banded25,24.2969442155289,0.5463363081559773,15.005633818344247,0.10600211596571697,2.6223488480601516
