arm,panel,seed,year,n_days,net_pct,sharpe
gru,set1_core7,44,2017,251,5.884536701159701,0.7544905227310105
gru,set1_core7,44,2018,251,25.032873844796725,2.845221536288158
gru,set1_core7,44,2019,252,11.736692615718864,1.0129133377075163
gru,set2_core7,42,2015,252,-2.0327606508736635,-0.3212036458640399
gru,set2_core7,42,2016,252,-0.6625446545873992,-0.0857319500342898
gru,set2_core7,42,2017,251,5.1060020329686315,0.8840696910784848
gru,set2_core7,42,2018,251,-1.483581240491172,-0.24169697210568597
gru,set2_core7,42,2019,252,0.5825543429235795,0.09101130682082265
gru,set2_core7,43,2015,252,13.754919893879563,2.081820452074227
gru,set2_core7,43,2016,252,5.764130353760213,0.9285912336954387
gru,set2_core7,43,2017,251,-1.1907707110267256,-0.24340497687431822
gru,set2_core7,43,2018,251,0.737244444746752,0.11729401817304433
gru,set2_core7,43,2019,252,8.012866938990152,1.0591377375665028
gru,set2_core7,44,2015,252,3.941136519466916,0.6000955067088204
gru,set2_core7,44,2016,252,1.6745995047604385,0.27139464521782714
gru,set2_core7,44,2017,251,7.577455882813274,1.265537298474717
gru,set2_core7,44,2018,251,-5.576876575234407,-0.8583380736920818
gru,set2_core7,44,2019,252,5.500382116269468,0.7597414149296813
gru,set3_core7,42,2015,252,-0.8445837534606583,-0.1774349074762751
gru,set3_core7,42,2016,252,-6.810645127465626,-1.3441076779061722
gru,set3_core7,42,2017,251,-3.505473704665179,-0.8469315847418719
gru,set3_core7,42,2018,251,-1.6330427402639365,-0.3292844748507914
gru,set3_core7,42,2019,252,-4.9947400438214276,-1.0376404094850191
gru,set3_core7,43,2015,252,0.3428763555686748,0.06467252702149154
gru,set3_core7,43,2016,252,-5.1051657177798,-0.8673018861900915
gru,set3_core7,43,2017,251,4.998404922585086,1.005264508031602
gru,set3_core7,43,2018,251,5.3286085963983485,1.0031088037228444
gru,set3_core7,43,2019,252,-0.4308722798663834,-0.07759776056851284
gru,set3_core7,44,2015,252,6.181546979902339,1.22282065824786
gru,set3_core7,44,2016,252,0.8006177235152956,0.16076960421204875
gru,set3_core7,44,2017,251,10.733033340718727,1.9868057960999244
gru,set3_core7,44,2018,251,0.10013353154913213,0.017271536528913164
gru,set3_core7,44,2019,252,5.785127414323016,1.0848036236349792
gru,set4_core7,42,2015,252,7.442698280552701,1.0459033473913342
gru,set4_core7,42,2016,252,-4.096794569612453,-0.4720175474461849
gru,set4_core7,42,2017,251,11.565649598872183,1.6279225369241337
gru,set4_core7,42,2018,251,-6.143124266658363,-0.7491792623278183
gru,set4_core7,42,2019,252,28.948553874101467,2.687027063563156
gru,set4_core7,43,2015,252,4.02726570585981,0.6452874347846846
gru,set4_core7,43,2016,252,-6.223140516201793,-0.7339939255724914
gru,set4_core7,43,2017,251,3.3429371534621914,0.4581211061042007
gru,set4_core7,43,2018,251,-7.525878142763368,-0.9422597556080601
gru,set4_core7,43,2019,252,14.643902602774265,1.5681307050914626
gru,set4_core7,44,2015,252,0.6753174172392788,0.10930483619879522
gru,set4_core7,44,2016,252,-7.723975195165754,-1.0056284421600301
